,CityState,University,Uni CityState,Distance,Closest,City,City Lat,City Lng,Distance_Text,State,Time,Time_Text,Uni Lat,Uni Lng,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,Impressions,CPC,CTR,Cost
15252,"LOWNDESBORO, AL",GTECH,"ATLANTA, GA",164.916004982018,1,LOWNDESBORO,32.298669,-86.631995,193 mi,AL,10905.0,3 hours 2 mins,33.7756178,-84.396285,1843.0,748.0,1076.0,0.0,0.0,26.0,0.0,241.0,40.0,146.0,203.0,39.0,42.0,0.0,114.0,721.0,81.0,16.0,0.0,43.4,43.3,43.5,42917.0,18876.0,646.0,90000.0,,,,
15253,"LOWNDESVILLE, SC",GTECH,"ATLANTA, GA",104.788934727195,1,LOWNDESVILLE,34.20977,-82.646988,132 mi,SC,8689.0,2 hours 25 mins,33.7756178,-84.396285,121.0,109.0,12.0,0.0,0.0,0.0,3.0,17.0,10.0,8.0,0.0,0.0,0.0,0.0,76.0,37.0,9.0,0.0,0.0,26.7,30.7,26.1,15000.0,8572.0,554.0,73800.0,,,,
15260,"LOXLEY, AL",GTECH,"ATLANTA, GA",291.74124228107,1,LOXLEY,30.647109,-87.753071,,AL,,,33.7756178,-84.396285,8482.0,7260.0,1042.0,71.0,0.0,611.0,86.0,1576.0,643.0,535.0,622.0,151.0,4.0,12.0,980.0,3877.0,340.0,145.0,20.0,40.6,37.8,43.1,44154.0,20768.0,966.0,132700.0,,,,
15303,"LUDOWICI, GA",GTECH,"SAVANNAH, GA",43.8118694254689,1,LUDOWICI,31.723569,-81.714287,53.3 mi,GA,4264.0,1 hour 11 mins,32.0835,-81.0998,11820.0,7846.0,2840.0,57.0,201.0,648.0,47.0,2213.0,653.0,681.0,811.0,342.0,0.0,41.0,2245.0,5418.0,780.0,68.0,5.0,33.8,32.8,34.2,47215.0,18401.0,631.0,120300.0,0.45,14.17,0.037,0.24
15312,"LULA, GA",GTECH,"ATLANTA, GA",60.1156770020415,1,LULA,34.398083,-83.661982,64.3 mi,GA,5119.0,1 hour 25 mins,33.7756178,-84.396285,7456.0,6841.0,305.0,26.0,56.0,461.0,109.0,1587.0,409.0,402.0,256.0,170.0,117.0,56.0,1018.0,3657.0,184.0,67.0,32.0,37.1,37.0,37.2,52542.0,22829.0,867.0,132100.0,0.68,18.28,0.03,0.37
15318,"LUMBER CITY, GA",GTECH,"SAVANNAH, GA",95.4269719529824,1,LUMBER CITY,31.9282,-82.714917,109 mi,GA,7790.0,2 hours 10 mins,32.0835,-81.0998,2233.0,1280.0,937.0,0.0,0.0,139.0,7.0,941.0,134.0,54.0,106.0,25.0,3.0,8.0,598.0,857.0,30.0,0.0,0.0,46.6,44.3,48.0,20409.0,14467.0,573.0,42100.0,,,,
15325,"LUMPKIN, GA",GTECH,"ATLANTA, GA",123.086506036137,1,LUMPKIN,32.030013,-84.84488,148 mi,GA,8284.0,2 hours 18 mins,33.7756178,-84.396285,3320.0,911.0,1159.0,8.0,97.0,1269.0,119.0,684.0,92.0,91.0,245.0,25.0,8.0,0.0,568.0,880.0,116.0,9.0,0.0,36.0,33.7,43.4,31014.0,14177.0,553.0,53100.0,,,,
15340,"LURAY, SC",GTECH,"SAVANNAH, GA",52.6686080326163,1,LURAY,32.818148,-81.348641,60.7 mi,SC,4377.0,1 hour 13 mins,32.0835,-81.0998,293.0,136.0,126.0,0.0,0.0,31.0,0.0,74.0,2.0,27.0,6.0,0.0,0.0,0.0,54.0,136.0,11.0,2.0,0.0,29.9,34.1,29.8,40833.0,16272.0,,100000.0,,,,
15349,"LUTHERSVILLE, GA",GTECH,"ATLANTA, GA",43.4459513085358,1,LUTHERSVILLE,33.198174,-84.698112,54.6 mi,GA,4114.0,1 hour 9 mins,33.7756178,-84.396285,2772.0,1673.0,825.0,0.0,0.0,211.0,68.0,499.0,199.0,53.0,112.0,25.0,1.0,2.0,664.0,1099.0,98.0,2.0,2.0,35.9,35.4,40.7,31814.0,15384.0,778.0,100700.0,,,,
15355,"LUVERNE, AL",GTECH,"ATLANTA, GA",176.423985600063,1,LUVERNE,31.768143,-86.277257,212 mi,AL,11767.0,3 hours 16 mins,33.7756178,-84.396285,5613.0,4043.0,1277.0,17.0,184.0,125.0,41.0,1119.0,223.0,302.0,461.0,183.0,33.0,8.0,897.0,2367.0,215.0,9.0,6.0,40.9,40.6,41.6,34782.0,20821.0,453.0,78400.0,0.23,60.11,0.034,0.46
15366,"LYERLY, GA",GTECH,"ATLANTA, GA",70.6276598944157,1,LYERLY,34.348052,-85.417499,92.0 mi,GA,7104.0,1 hour 58 mins,33.7756178,-84.396285,1883.0,1706.0,147.0,0.0,0.0,96.0,6.0,348.0,210.0,60.0,66.0,6.0,4.0,0.0,630.0,815.0,131.0,0.0,0.0,36.8,33.7,42.4,34926.0,14910.0,625.0,54000.0,,,,
15386,"LYNCHBURG, SC",GTECH,"SAVANNAH, GA",145.359509236752,1,LYNCHBURG,34.012164,-80.085577,157 mi,SC,8401.0,2 hours 20 mins,32.0835,-81.0998,3159.0,990.0,2106.0,1.0,0.0,59.0,12.0,670.0,85.0,177.0,137.0,67.0,11.0,0.0,784.0,1361.0,273.0,15.0,18.0,46.4,43.2,49.1,35204.0,16739.0,429.0,57900.0,,,,
15423,"LYONS, GA",GTECH,"SAVANNAH, GA",70.1427846226711,1,LYONS,32.154894,-82.293036,89.2 mi,GA,5235.0,1 hour 27 mins,32.0835,-81.0998,11797.0,8649.0,2220.0,11.0,0.0,1807.0,177.0,2440.0,598.0,383.0,620.0,253.0,19.0,12.0,3731.0,4866.0,400.0,125.0,23.0,33.7,32.4,36.9,29466.0,16878.0,568.0,71300.0,0.45,0.89,0.078,0.03
15446,"MABLETON, GA",GTECH,"ATLANTA, GA",9.46370954026117,1,MABLETON,33.815025,-84.553831,12.6 mi,GA,2398.0,40 mins,33.7756178,-84.396285,39105.0,18765.0,17006.0,0.0,1054.0,5686.0,266.0,4792.0,851.0,1759.0,6763.0,3138.0,716.0,465.0,5323.0,22255.0,1731.0,870.0,511.0,36.3,35.7,36.8,66417.0,33830.0,977.0,177200.0,7.73,14.65,0.043,4.73
15486,"MACON, GA",GTECH,"ATLANTA, GA",77.4658062255049,1,MACON,32.8378798,-83.658123,87.6 mi,GA,5474.0,1 hour 31 mins,33.7756178,-84.396285,166004.0,75217.0,84474.0,153.0,2842.0,5027.0,1294.0,30106.0,5290.0,6237.0,14899.0,6427.0,2090.0,1268.0,42877.0,73122.0,8712.0,1597.0,417.0,34.6111111111111,33.1111111111111,36.0777777777778,39029.875,19702.3333333333,716.125,114187.5,12.97,14.79,0.037,6.96
15514,"MADISON, GA",GTECH,"ATLANTA, GA",54.7887382301746,1,MADISON,33.583689,-83.473544,62.2 mi,GA,4294.0,1 hour 12 mins,33.7756178,-84.396285,11205.0,7508.0,3402.0,1.0,11.0,422.0,144.0,2000.0,278.0,548.0,1127.0,504.0,163.0,52.0,1685.0,5075.0,351.0,129.0,85.0,41.9,43.9,40.1,50702.0,24613.0,881.0,181700.0,1.14,30.12,0.04,1.33
15555,"MAGNOLIA SPRINGS, AL",GTECH,"ATLANTA, GA",306.035977006416,1,MAGNOLIA SPRINGS,30.396615,-87.783492,,AL,,,33.7756178,-84.396285,696.0,690.0,0.0,0.0,0.0,46.0,0.0,104.0,23.0,20.0,153.0,39.0,11.0,17.0,40.0,267.0,8.0,17.0,0.0,59.1,57.1,60.1,48523.0,30280.0,875.0,227200.0,,,,
15556,"MAGNOLIA, AL",GTECH,"ATLANTA, GA",222.107709156399,1,MAGNOLIA,32.154061,-87.700902,,AL,,,33.7756178,-84.396285,371.0,164.0,207.0,0.0,0.0,100.0,0.0,139.0,10.0,44.0,0.0,13.0,0.0,0.0,131.0,118.0,0.0,0.0,0.0,46.3,46.5,43.8,,16753.0,,111800.0,,,,
15599,"MALCOLM, AL",GTECH,"ATLANTA, GA",274.305694203527,1,MALCOLM,31.197708,-87.976023,,AL,,,33.7756178,-84.396285,249.0,249.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,44.5,44.7,28.8,,9413.0,,,,,,
15649,"MANASSAS, GA",GTECH,"SAVANNAH, GA",54.2826885695129,1,MANASSAS,32.165611,-82.020521,66.9 mi,GA,3896.0,1 hour 5 mins,32.0835,-81.0998,48.0,29.0,19.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,58.7,61.3,58.5,,20088.0,,,,,,
15658,"MANCHESTER, GA",GTECH,"ATLANTA, GA",62.8289878031896,1,MANCHESTER,32.881465,-84.60815,79.5 mi,GA,5702.0,1 hour 35 mins,33.7756178,-84.396285,5489.0,2989.0,2363.0,0.0,49.0,0.0,56.0,991.0,531.0,192.0,185.0,114.0,11.0,0.0,1544.0,2036.0,224.0,18.0,0.0,33.9,32.4,36.2,29423.0,15316.0,804.0,76200.0,0.45,14.52,0.061,0.39
15715,"MANNING, SC",GTECH,"SAVANNAH, GA",119.761749572004,1,MANNING,33.641983,-80.188481,135 mi,SC,7366.0,2 hours 3 mins,32.0835,-81.0998,17386.0,7909.0,9113.0,40.0,23.0,293.0,180.0,3737.0,578.0,943.0,1141.0,574.0,91.0,82.0,4375.0,7061.0,1140.0,127.0,15.0,43.3,40.8,45.4,33201.0,19229.0,626.0,92400.0,0.92,26.28,0.037,0.88
15722,"MANOR, GA",GTECH,"SAVANNAH, GA",109.269782378918,1,MANOR,31.14708,-82.595623,140 mi,GA,8752.0,2 hours 26 mins,32.0835,-81.0998,655.0,655.0,0.0,0.0,0.0,55.0,0.0,231.0,19.0,0.0,11.0,0.0,6.0,29.0,204.0,347.0,24.0,0.0,14.0,41.8,41.3,42.2,36276.0,18392.0,,,,,,
15731,"MANSFIELD, GA",GTECH,"ATLANTA, GA",41.9127005402145,1,MANSFIELD,33.497411,-83.749784,53.1 mi,GA,4043.0,1 hour 7 mins,33.7756178,-84.396285,2397.0,2285.0,63.0,14.0,0.0,32.0,43.0,555.0,122.0,108.0,204.0,38.0,4.0,0.0,254.0,1100.0,41.0,44.0,12.0,40.2,37.8,41.4,61094.0,25790.0,1080.0,153600.0,,,,
15790,"MAPLESVILLE, AL",GTECH,"ATLANTA, GA",157.408171731832,1,MAPLESVILLE,32.789616,-86.849377,203 mi,AL,11585.0,3 hours 13 mins,33.7756178,-84.396285,2793.0,1952.0,817.0,10.0,0.0,25.0,21.0,712.0,99.0,133.0,119.0,92.0,8.0,2.0,741.0,1198.0,94.0,3.0,0.0,37.4,37.2,37.7,36792.0,21167.0,630.0,102000.0,,,,
15821,"MARBLE HILL, GA",GTECH,"ATLANTA, GA",47.7447755690153,1,MARBLE HILL,34.458792,-84.258613,65.4 mi,GA,5702.0,1 hour 35 mins,33.7756178,-84.396285,490.0,426.0,0.0,0.0,0.0,64.0,0.0,75.0,45.0,0.0,88.0,84.0,14.0,0.0,164.0,275.0,49.0,0.0,0.0,43.3,41.6,43.4,,26392.0,725.0,,,,,
15825,"MARBLE, NC",GTECH,"ATLANTA, GA",99.1764835893002,1,MARBLE,35.163946,-83.940087,124 mi,NC,8425.0,2 hours 20 mins,33.7756178,-84.396285,2724.0,2515.0,0.0,162.0,10.0,27.0,14.0,402.0,180.0,98.0,227.0,134.0,32.0,0.0,758.0,865.0,41.0,35.0,0.0,47.7,42.3,54.3,36208.0,21846.0,573.0,120800.0,,,,
15829,"MARBURY, AL",GTECH,"ATLANTA, GA",143.138498897251,1,MARBURY,32.685457,-86.50002,193 mi,AL,10500.0,2 hours 55 mins,33.7756178,-84.396285,1751.0,1659.0,69.0,0.0,0.0,23.0,155.0,427.0,153.0,70.0,30.0,86.0,15.0,0.0,273.0,737.0,80.0,0.0,1.0,47.3,46.8,47.8,37704.0,28372.0,738.0,63400.0,,,,
15852,"MARGARET, AL",GTECH,"ATLANTA, GA",119.586068511874,1,MARGARET,33.691077,-86.470578,137 mi,AL,8150.0,2 hours 16 mins,33.7756178,-84.396285,351.0,351.0,0.0,0.0,0.0,0.0,0.0,114.0,17.0,0.0,23.0,0.0,0.0,0.0,52.0,172.0,0.0,85.0,0.0,32.1,23.5,32.1,95264.0,21334.0,,,,,,
15866,"MARIETTA, GA",GTECH,"ATLANTA, GA",14.3093959048251,1,MARIETTA,33.95784,-84.5155567142857,16.9 mi,GA,2717.0,45 mins,33.7756178,-84.396285,314677.0,207264.0,66682.0,641.0,16786.0,42021.0,1964.0,33265.0,5072.0,15176.0,63497.0,23101.0,5477.0,3026.0,39938.0,169861.0,14235.0,9368.0,2576.0,37.1857142857143,35.8,38.3428571428571,68299.2857142857,34121.5714285714,1044.85714285714,217042.857142857,84.84,16.04,0.033,43.88
15888,"MARION JUNCTION, AL",GTECH,"ATLANTA, GA",191.567586019313,1,MARION JUNCTION,32.416752,-87.277593,231 mi,AL,13113.0,3 hours 39 mins,33.7756178,-84.396285,1681.0,535.0,1116.0,0.0,0.0,20.0,42.0,299.0,32.0,112.0,89.0,64.0,0.0,0.0,595.0,735.0,33.0,8.0,13.0,44.2,44.2,44.5,22554.0,18725.0,536.0,50900.0,,,,
15890,"MARION, AL",GTECH,"ATLANTA, GA",182.956828788689,1,MARION,32.683866,-87.27589,220 mi,AL,12601.0,3 hours 30 mins,33.7756178,-84.396285,5621.0,1978.0,3526.0,4.0,27.0,87.0,41.0,1078.0,380.0,253.0,249.0,222.0,11.0,39.0,1651.0,1916.0,135.0,72.0,0.0,40.5,36.6,45.1,30347.0,16661.0,602.0,82200.0,0.69,4.34,0.035,0.1
15989,"MARSHALLVILLE, GA",GTECH,"ATLANTA, GA",96.1577747601572,1,MARSHALLVILLE,32.435,-83.936561,123 mi,GA,7177.0,2 hours 0 mins,33.7756178,-84.396285,1955.0,803.0,1101.0,4.0,0.0,31.0,2.0,412.0,68.0,129.0,128.0,50.0,10.0,12.0,449.0,853.0,99.0,11.0,4.0,46.5,42.5,48.6,33750.0,16258.0,655.0,85900.0,,,,
16012,"MARTIN, GA",GTECH,"ATLANTA, GA",84.7136373290631,1,MARTIN,34.479804,-83.18496,94.7 mi,GA,6327.0,1 hour 45 mins,33.7756178,-84.396285,4554.0,4052.0,326.0,0.0,67.0,137.0,58.0,1163.0,189.0,193.0,200.0,149.0,19.0,10.0,799.0,2076.0,235.0,26.0,35.0,43.2,46.5,40.8,38984.0,19834.0,561.0,97300.0,,,,
16018,"MARTIN, SC",GTECH,"SAVANNAH, GA",76.6749761328549,1,MARTIN,33.126708,-81.557127,89.3 mi,SC,6172.0,1 hour 43 mins,32.0835,-81.0998,634.0,173.0,446.0,0.0,0.0,23.0,9.0,247.0,18.0,18.0,30.0,11.0,0.0,0.0,62.0,199.0,36.0,15.0,0.0,54.9,54.4,58.3,50052.0,24600.0,733.0,52000.0,,,,
16117,"MATHEWS, AL",GTECH,"ATLANTA, GA",145.719312390473,1,MATHEWS,32.184093,-86.048285,168 mi,AL,9147.0,2 hours 32 mins,33.7756178,-84.396285,401.0,273.0,123.0,0.0,0.0,0.0,12.0,68.0,10.0,22.0,87.0,25.0,9.0,0.0,36.0,150.0,9.0,0.0,0.0,51.0,45.8,55.3,45375.0,40894.0,620.0,,,,,
16138,"MATTHEWS, GA",GTECH,"ATLANTA, GA",123.63317622894,1,MATTHEWS,33.276427,-82.338966,142 mi,GA,8490.0,2 hours 22 mins,33.7756178,-84.396285,722.0,556.0,75.0,0.0,0.0,91.0,22.0,191.0,19.0,6.0,55.0,33.0,0.0,0.0,176.0,300.0,32.0,0.0,30.0,32.6,39.8,30.8,41635.0,20203.0,,65900.0,,,,
16150,"MAUK, GA",GTECH,"ATLANTA, GA",88.6942012152627,1,MAUK,32.488651,-84.410396,112 mi,GA,8055.0,2 hours 14 mins,33.7756178,-84.396285,1474.0,1427.0,20.0,0.0,0.0,0.0,28.0,335.0,94.0,12.0,79.0,41.0,0.0,2.0,434.0,688.0,191.0,0.0,0.0,49.2,51.9,48.0,30724.0,16772.0,657.0,70200.0,,,,
16199,"MAYLENE, AL",GTECH,"ATLANTA, GA",148.311686510079,1,MAYLENE,33.224414,-86.879318,170 mi,AL,9990.0,2 hours 47 mins,33.7756178,-84.396285,7953.0,6062.0,1159.0,37.0,44.0,466.0,65.0,908.0,200.0,310.0,1535.0,557.0,76.0,42.0,671.0,4278.0,223.0,269.0,60.0,38.4,37.9,38.7,83462.0,32961.0,1095.0,207900.0,,,,
16215,"MAYSVILLE, GA",GTECH,"ATLANTA, GA",58.3067024161188,1,MAYSVILLE,34.264056,-83.566788,65.6 mi,GA,5302.0,1 hour 28 mins,33.7756178,-84.396285,5948.0,5495.0,218.0,17.0,133.0,77.0,58.0,1281.0,560.0,269.0,255.0,69.0,6.0,11.0,1421.0,2625.0,179.0,26.0,30.0,37.9,36.1,40.5,39528.0,17679.0,754.0,102500.0,,,,
16247,"MC CALLA, AL",GTECH,"ATLANTA, GA",159.39327859735,1,MC CALLA,33.284352,-87.094878,179 mi,AL,10166.0,2 hours 49 mins,33.7756178,-84.396285,16284.0,13552.0,2371.0,32.0,51.0,67.0,31.0,2889.0,644.0,1092.0,1856.0,900.0,209.0,92.0,1050.0,8620.0,453.0,190.0,261.0,37.6,35.3,39.8,80895.0,30862.0,838.0,182300.0,,,,
16255,"MC CAYSVILLE, GA",GTECH,"ATLANTA, GA",82.4422753905939,1,MC CAYSVILLE,34.971217,-84.436342,104 mi,GA,7528.0,2 hours 5 mins,33.7756178,-84.396285,2360.0,2150.0,0.0,10.0,2.0,28.0,8.0,483.0,131.0,86.0,177.0,28.0,5.0,0.0,599.0,888.0,169.0,17.0,22.0,40.7,38.6,41.5,25263.0,16323.0,460.0,127600.0,,,,
16259,"MC CLELLANVILLE, SC",GTECH,"SAVANNAH, GA",118.234379454525,1,MC CLELLANVILLE,33.093336,-79.461188,150 mi,SC,11003.0,3 hours 3 mins,32.0835,-81.0998,2287.0,871.0,1416.0,0.0,0.0,0.0,0.0,618.0,3.0,102.0,254.0,105.0,34.0,30.0,611.0,816.0,76.0,9.0,9.0,55.3,55.1,55.5,35571.0,19875.0,,167100.0,,,,
16274,"MC CORMICK, SC",GTECH,"ATLANTA, GA",122.710026739876,1,MC CORMICK,33.923761,-82.2697865,157 mi,SC,9364.0,2 hours 36 mins,33.7756178,-84.396285,7935.0,3805.0,3983.0,0.0,13.0,91.0,46.0,1384.0,513.0,471.0,835.0,364.0,27.0,83.0,1176.0,2506.0,336.0,5.0,17.0,48.05,46.45,58.6,37790.0,12980.5,498.0,123600.0,,,,
16320,"MC INTOSH, AL",GTECH,"ATLANTA, GA",276.376457984403,1,MC INTOSH,31.243301,-88.067813,,AL,,,33.7756178,-84.396285,3830.0,1125.0,1387.0,1279.0,0.0,16.0,26.0,1086.0,115.0,203.0,100.0,34.0,5.0,1.0,620.0,1692.0,607.0,0.0,15.0,34.2,33.5,34.5,43549.0,17830.0,588.0,109600.0,,,,
16323,"MC INTYRE, GA",GTECH,"ATLANTA, GA",91.6701711639355,1,MC INTYRE,32.889861,-83.214067,116 mi,GA,7352.0,2 hours 3 mins,33.7756178,-84.396285,1758.0,963.0,736.0,0.0,0.0,105.0,16.0,628.0,47.0,99.0,70.0,3.0,0.0,0.0,420.0,592.0,26.0,0.0,0.0,45.0,45.0,45.0,34583.0,16988.0,789.0,63500.0,,,,
16330,"MC KENZIE, AL",GTECH,"ATLANTA, GA",207.01383472358,1,MC KENZIE,31.568405,-86.806151,,AL,,,33.7756178,-84.396285,1602.0,1261.0,327.0,3.0,0.0,0.0,51.0,424.0,37.0,129.0,87.0,16.0,0.0,0.0,231.0,656.0,56.0,0.0,0.0,44.0,39.8,44.8,37500.0,19366.0,396.0,58000.0,,,,
16355,"MC RAE, GA",GTECH,"SAVANNAH, GA",105.828421701053,1,MC RAE,32.005073,-82.900735,132 mi,GA,7702.0,2 hours 8 mins,32.0835,-81.0998,8253.0,4774.0,3353.0,0.0,0.0,1694.0,67.0,2134.0,524.0,306.0,275.0,263.0,71.0,25.0,2159.0,2240.0,65.0,7.0,0.0,40.1,40.9,34.9,27971.0,11916.0,573.0,61100.0,,,,
16359,"MC WILLIAMS, AL",GTECH,"ATLANTA, GA",206.706418281425,1,MC WILLIAMS,31.807348,-87.076533,,AL,,,33.7756178,-84.396285,27.0,7.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,,,18661.0,18500.0,,,,,,
16379,"MCDONOUGH, GA",GTECH,"ATLANTA, GA",26.8817265912837,1,MCDONOUGH,33.461219,-84.1203675,35.2 mi,GA,3427.0,57 mins,33.7756178,-84.396285,95569.0,52056.0,35653.0,15.0,2999.0,6608.0,819.0,15245.0,2328.0,4938.0,10720.0,4868.0,912.0,655.0,10470.0,46095.0,4606.0,1153.0,453.0,36.25,34.85,37.6,63332.5,26166.5,1137.5,153050.0,15.92,17.61,0.035,9.71
16427,"MEANSVILLE, GA",GTECH,"ATLANTA, GA",53.1726493941715,1,MEANSVILLE,33.007484,-84.3099,60.2 mi,GA,5545.0,1 hour 32 mins,33.7756178,-84.396285,2466.0,2186.0,242.0,0.0,0.0,33.0,46.0,559.0,128.0,68.0,262.0,113.0,0.0,12.0,305.0,1177.0,140.0,16.0,0.0,40.5,35.6,44.7,50156.0,22488.0,725.0,113900.0,,,,
16493,"MEIGS, GA",GTECH,"ATLANTA, GA",186.477013805214,1,MEIGS,31.087551,-84.027154,215 mi,GA,12202.0,3 hours 23 mins,33.7756178,-84.396285,3089.0,2044.0,733.0,0.0,74.0,312.0,34.0,571.0,171.0,99.0,136.0,74.0,0.0,0.0,780.0,1346.0,132.0,34.0,5.0,40.8,43.5,39.0,26974.0,14841.0,509.0,101800.0,,,,
16505,"MELDRIM, GA",GTECH,"SAVANNAH, GA",16.4608390801073,1,MELDRIM,32.142025,-81.371941,21.0 mi,GA,1656.0,28 mins,32.0835,-81.0998,488.0,488.0,0.0,0.0,0.0,0.0,0.0,243.0,29.0,37.0,33.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,56.2,62.5,46.0,110526.0,42514.0,,,,,,
16534,"MELVIN, AL",GTECH,"ATLANTA, GA",266.676229574993,1,MELVIN,31.960963,-88.44709,,AL,,,33.7756178,-84.396285,77.0,77.0,0.0,0.0,0.0,0.0,19.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,0.0,0.0,0.0,53.3,,53.4,,9551.0,,40200.0,,,,
16571,"MENLO, GA",GTECH,"ATLANTA, GA",83.4766570520229,1,MENLO,34.587768,-85.477364,105 mi,GA,7694.0,2 hours 8 mins,33.7756178,-84.396285,2572.0,2515.0,26.0,0.0,28.0,13.0,13.0,537.0,173.0,108.0,105.0,82.0,18.0,9.0,469.0,1160.0,73.0,10.0,15.0,40.6,40.2,42.6,39961.0,18284.0,493.0,97500.0,,,,
16581,"MENTONE, AL",GTECH,"ATLANTA, GA",85.0208946131753,1,MENTONE,34.536843,-85.563859,105 mi,AL,7733.0,2 hours 9 mins,33.7756178,-84.396285,2012.0,1971.0,2.0,4.0,0.0,12.0,4.0,351.0,181.0,100.0,171.0,57.0,23.0,20.0,423.0,736.0,119.0,20.0,10.0,52.4,48.8,54.8,34097.0,25039.0,700.0,128800.0,,,,
16647,"MERSHON, GA",GTECH,"SAVANNAH, GA",80.0487939828536,1,MERSHON,31.495826,-82.273212,121 mi,GA,7234.0,2 hours 1 min,32.0835,-81.0998,916.0,702.0,86.0,36.0,0.0,129.0,0.0,289.0,82.0,27.0,9.0,5.0,7.0,0.0,300.0,366.0,45.0,12.0,0.0,44.2,44.1,45.9,37031.0,19235.0,490.0,53100.0,,,,
16682,"METTER, GA",GTECH,"SAVANNAH, GA",61.511248308118,1,METTER,32.407098,-82.078788,66.5 mi,GA,3963.0,1 hour 6 mins,32.0835,-81.0998,11032.0,7387.0,2670.0,48.0,344.0,1239.0,146.0,1953.0,510.0,410.0,724.0,221.0,90.0,62.0,3380.0,4543.0,363.0,89.0,6.0,37.0,35.9,37.4,30275.0,16881.0,540.0,88600.0,1.36,2.04,0.067,0.18
16683,"METTER, GA",GTECH,"ATLANTA, GA",164.209531712595,1,METTER,32.407098,-82.078788,,GA,,,33.7756178,-84.396285,11032.0,7387.0,2670.0,48.0,344.0,1239.0,146.0,1953.0,510.0,410.0,724.0,221.0,90.0,62.0,3380.0,4543.0,363.0,89.0,6.0,37.0,35.9,37.4,30275.0,16881.0,540.0,88600.0,1.36,2.04,0.067,0.18
16793,"MIDLAND CITY, AL",GTECH,"ATLANTA, GA",179.012617064422,1,MIDLAND CITY,31.350214,-85.495521,210 mi,AL,12586.0,3 hours 30 mins,33.7756178,-84.396285,6090.0,4473.0,1328.0,0.0,137.0,165.0,101.0,897.0,329.0,462.0,507.0,181.0,13.0,16.0,1296.0,2854.0,225.0,54.0,6.0,37.0,36.2,39.2,41250.0,22165.0,548.0,111100.0,,,,
16796,"MIDLAND, GA",GTECH,"ATLANTA, GA",86.0929714473788,1,MIDLAND,32.579419,-84.82469,110 mi,GA,6477.0,1 hour 48 mins,33.7756178,-84.396285,9705.0,6863.0,1454.0,5.0,656.0,1006.0,10.0,1105.0,95.0,294.0,1753.0,853.0,272.0,200.0,204.0,4789.0,332.0,181.0,26.0,39.2,40.1,38.9,93674.0,38892.0,1564.0,267300.0,,,,
16817,"MIDVILLE, GA",GTECH,"SAVANNAH, GA",82.0965874124586,1,MIDVILLE,32.79705,-82.224945,99.6 mi,GA,6226.0,1 hour 44 mins,32.0835,-81.0998,1710.0,1128.0,543.0,7.0,0.0,17.0,24.0,456.0,102.0,90.0,57.0,17.0,0.0,8.0,287.0,769.0,71.0,0.0,20.0,44.9,46.0,44.2,34554.0,18951.0,516.0,72500.0,,,,
16820,"MIDWAY, AL",GTECH,"ATLANTA, GA",134.866899653913,1,MIDWAY,32.02924,-85.443571,155 mi,AL,9434.0,2 hours 37 mins,33.7756178,-84.396285,2222.0,273.0,1940.0,0.0,9.0,0.0,84.0,476.0,29.0,62.0,99.0,27.0,10.0,2.0,859.0,809.0,120.0,0.0,0.0,40.4,36.9,45.4,25093.0,14506.0,476.0,38800.0,,,,
16823,"MIDWAY, GA",GTECH,"SAVANNAH, GA",27.003851677414,1,MIDWAY,31.765504,-81.368411,34.6 mi,GA,2328.0,39 mins,32.0835,-81.0998,9001.0,5516.0,3068.0,27.0,133.0,169.0,47.0,1650.0,391.0,461.0,747.0,250.0,38.0,67.0,1379.0,4111.0,428.0,53.0,24.0,39.1,39.0,39.2,48688.0,23328.0,904.0,132800.0,0.45,15.94,0.015,0.11
16839,"MILAN, GA",GTECH,"SAVANNAH, GA",115.500252488356,1,MILAN,31.975665,-83.063507,142 mi,GA,8337.0,2 hours 19 mins,32.0835,-81.0998,2281.0,1920.0,286.0,5.0,0.0,67.0,41.0,555.0,115.0,158.0,147.0,42.0,11.0,16.0,531.0,956.0,86.0,4.0,0.0,42.4,41.1,43.0,35583.0,19388.0,607.0,64000.0,,,,
