,CityState,Impressions,CPC,CTR,Cost
39,"KANSAS CITY, MO",156.7,18.43,0.033,93.95
40,"TUCSON, AZ",149.2,22.64,0.026,84.15
41,"NASHVILLE, TN",147.51,11.5,0.035,59.06
42,"DETROIT, MI",146.13,11.93,0.035,60.22
43,"FORT LAUDERDALE, FL",142.0,12.17,0.04,68.72
44,"SACRAMENTO, CA",139.85,15.18,0.027,56.02
45,"SAINT PAUL, MN",139.58,16.09,0.028,61.95
46,"IRVING, TX",134.94,13.19,0.023,40.76
47,"FORT WORTH, TX",133.08,11.2,0.029,42.31
48,"JERSEY CITY, NJ",130.97,15.56,0.034,67.37
49,"SAINT LOUIS, MO",129.13,7.86,0.039,38.65
50,"BETHESDA, MD",124.02,17.845,0.022,56.474999999999994
51,"FREMONT, CA",122.92,17.98,0.027,58.66
52,"SUNNYVALE, CA",120.19,16.35,0.025,48.31
53,"JACKSONVILLE, FL",111.44,11.44,0.037,46.65
54,"SANTA ANA, CA",107.9,24.81,0.024,63.82
55,"INDIANAPOLIS, IN",107.3,11.61,0.034,42.21
56,"SANTA CLARA, CA",106.53,14.85,0.024,37.0
57,"DURHAM, NC",105.23,34.52,0.029,102.87
58,"RICHMOND, VA",104.54,15.52,0.035,56.38
59,"EVANSTON, IL",104.54,22.81,0.025,59.08
60,"TEMPE, AZ",103.47,24.47,0.025,60.96
61,"OVERLAND PARK, KS",102.71,26.42,0.031,84.3
62,"ALEXANDRIA, VA",100.725,18.56,0.029500000000000002,61.805
63,"JOHN CREEK, GA",98.49,14.62,0.036,50.71
64,"ASHBURN, VA",92.97,16.03,0.0265,38.265
65,"VANCOUVER, WA",92.37,12.88,0.036,42.57
66,"CINCINNATI, OH",90.76,10.53,0.04,37.52
67,"ARLINGTON, TX",90.47,33.14,0.025,73.63
68,"PALO ALTO, CA",86.32,15.39,0.023,29.59
69,"SILVER SPRING, MD",85.315,19.015,0.0235,37.805
70,"MARIETTA, GA",84.84,16.04,0.033,43.88
71,"ANAHEIM, CA",84.13,23.95,0.027,53.98
72,"MEMPHIS, TN",83.18,6.67,0.05,27.55
73,"STANFORD, CA",83.04,11.4,0.024,22.01
74,"MOUNTAIN VIEW, CA",82.49,17.06,0.024,32.94
75,"COLORADO SPRINGS, CO",82.03,19.97,0.033,53.99
76,"LONG BEACH, CA",81.95,18.87,0.024,36.66
77,"LOUISVILLE, KY",81.34,9.18,0.038,28.22
78,"HAYWARD, CA",80.03,20.14,0.026,41.07
79,"BELLEVUE, WA",78.12,15.71,0.03,35.8
80,"SCOTTSDALE, AZ",77.61,14.88,0.028,31.75
81,"WORCESTER, MA",77.4,12.67,0.02,19.42
82,"RIVERSIDE, CA",76.21,18.39,0.03,41.28
83,"OMAHA, NE",75.85,7.39,0.033,18.17
84,"AURORA, CO",73.99,20.47,0.036,53.47
85,"POMPANO BEACH, FL",73.53,13.75,0.037,36.45
86,"MILWAUKEE, WI",73.3,10.18,0.039,28.68
87,"WILMINGTON, DE",70.75,14.35,0.022,21.78
88,"RICHARDSON, TX",69.78,13.68,0.021,19.8
89,"ALBUQUERQUE, NM",69.31,12.11,0.031,25.11
90,"BOULDER, CO",68.7,18.11,0.024,29.42
91,"OKLAHOMA CITY, OK",66.86,10.89,0.042,30.2
92,"FAIRFAX, VA",66.67,15.46,0.025500000000000002,25.695
93,"TALLAHASSEE, FL",65.94,13.43,0.032,28.18
94,"EDISON, NJ",65.25,12.51,0.029,23.45
95,"ANN ARBOR, MI",64.56,14.58,0.034,31.64
96,"MESA, AZ",63.17,12.34,0.03,22.97
97,"PRINCETON, NJ",62.27,14.32,0.023,20.5
98,"NEWARK, NJ",61.58,13.9,0.035,29.5
99,"BIRMINGHAM, AL",61.35,8.56,0.04,20.52
100,"WALTHAM, MA",60.92,11.18,0.015,10.3
101,"BOCA RATON, FL",60.2,13.15,0.033,25.94
102,"PLEASANTON, CA",58.73,20.06,0.024,27.58
103,"TULSA, OK",58.36,9.52,0.047,25.73
104,"TACOMA, WA",57.67,13.86,0.033,26.19
105,"NEWARK, DE",55.45,12.78,0.022,15.14
106,"CHAPEL HILL, NC",55.14,59.9,0.029,94.61
107,"FORT MILL, SC",53.54,94.36,0.032,160.65
108,"FRESNO, CA",53.54,15.67,0.029,24.09
109,"CHANDLER, AZ",52.34,12.56,0.034,21.97
110,"SANTA MONICA, CA",52.17,21.58,0.023,25.11
111,"LAWRENCE, KS",51.93,32.18,0.035,57.6
112,"CITY OF INDUSTRY, CA",51.9,34.23,0.027,47.44
113,"CARY, NC",51.7,33.29,0.031,52.94
114,"GAINESVILLE, FL",51.47,14.39,0.034,24.78
115,"OREM, UT",51.01,18.27,0.028,25.82
116,"HONOLULU, HI",50.78,9.92,0.032,16.13
117,"ROUND ROCK, TX",50.64,18.93,0.022,20.6
118,"LAWRENCEVILLE, GA",50.5,17.55,0.032,27.97
119,"BURLINGTON, MA",50.33,12.42,0.012,7.09
120,"BUFFALO, NY",50.32,8.53,0.04,17.12
121,"EL PASO, TX",49.71,18.89,0.039,35.81
122,"HUNTINGTON BEACH, CA",47.8,23.05,0.023,24.93
123,"MADISON, WI",47.79,8.42,0.035,13.99
124,"SAN RAMON, CA",47.26,13.53,0.018,11.0
125,"COSTA MESA, CA",47.26,24.38,0.02,22.86
126,"NEWTON, MA",47.09,12.35,0.017,9.74
127,"CHATTANOOGA, TN",46.64,8.58,0.038,15.16
128,"PEMBROKE PINES, FL",46.18,25.11,0.036,41.19
129,"CENTENNIAL, CO",46.18,16.7,0.032,24.48
130,"PROVIDENCE, RI",45.72,10.94,0.036,17.77
131,"WEST PALM BEACH, FL",45.49,10.52,0.047,22.23
132,"MCLEAN, VA",45.269999999999996,15.215,0.023,15.459999999999999
133,"FRISCO, TX",45.08,9.95,0.025,11.02
134,"SOMERVILLE, MA",45.03,14.7,0.015,9.93
135,"GILBERT, AZ",44.82,17.02,0.027,19.78
136,"NEW ORLEANS, LA",44.57,7.14,0.039,12.36
137,"SAN MATEO, CA",44.52,14.14,0.027,16.83
138,"CUPERTINO, CA",44.52,12.07,0.023,11.87
139,"GRAND RAPIDS, MI",44.35,10.71,0.034,16.06
140,"OCEANSIDE, CA",43.7,18.26,0.025,19.8
141,"SALEM, NH",43.66,15.65,0.033,22.43
142,"REDMOND, WA",43.66,13.65,0.032,18.59
143,"ELKTON, MD",43.26,12.67,0.022,11.58
144,"SANTA CLARITA, CA",43.16,20.95,0.031,27.43
145,"CARLSBAD, CA",43.16,14.22,0.02,12.05
146,"RENO, NV",42.88,12.29,0.027,13.85
147,"CHARLESTON, SC",42.74,12.09,0.035,17.7
148,"REDWOOD CITY, CA",42.61,16.03,0.021,13.94
149,"MISSION VIEJO, CA",42.34,33.34,0.024,32.97
150,"COLLEGE PARK, MD",42.285,16.215,0.019,12.524999999999999
151,"HIALEAH, FL",42.28,13.21,0.041,22.53
152,"DECATUR, GA",41.85,25.3,0.035,36.53
153,"LAGUNA BEACH, CA",41.79,26.43,0.021,23.01
154,"ORANGE, CA",41.52,20.43,0.024,20.19
155,"HERNDON, VA",41.519999999999996,19.560000000000002,0.027,21.11
156,"KENNESAW, GA",40.94,18.72,0.031,22.87
157,"ROCHESTER, NY",40.21,8.25,0.036,11.95
158,"EAGLE MOUNTAIN, UT",39.75,13.84,0.035,19.15
159,"QUINCY, MA",39.73,13.75,0.02,10.67
160,"FRAMINGHAM, MA",39.44,14.65,0.018,10.29
161,"NORCROSS, GA",39.35,16.5,0.033,21.13
162,"KISSIMMEE, FL",39.06,15.15,0.031,18.07
163,"VIRGINIA BEACH, VA",38.83,10.35,0.036,14.36
164,"FRANKLIN TOWNSHIP, NJ",38.83,12.2,0.028,13.0
165,"CHULA VISTA, CA",38.79,19.58,0.022,16.6
166,"BAKERSFIELD, CA",38.51,12.68,0.031,14.55
167,"FORT COLLINS, CO",38.14,14.61,0.027,14.82
168,"RESTON, VA",38.01,16.65,0.0215,13.075
169,"SANTA CRUZ, CA",37.7,16.01,0.023,13.65
170,"ATHENS, GA",37.53,16.45,0.028,16.58
171,"GREENSBORO, NC",37.22,11.84,0.034,14.61
172,"POTOMAC, MD",37.14,11.01,0.024,9.51
173,"BOISE, ID",36.99,11.72,0.036,15.41
174,"FORT LEE, NJ",36.53,16.05,0.028,16.45
175,"CARROLLTON, TX",36.44,19.64,0.022,15.35
176,"REEDLEY, CA",36.33,11.45,0.043,17.6
177,"GRAND PRAIRIE, TX",36.13,18.26,0.029,18.4
178,"MENLO PARK, CA",36.06,11.38,0.027,10.84
179,"SAN MARCOS, CA",35.78,17.15,0.021,12.77
180,"SANTA BARBARA, CA",35.78,16.43,0.022,12.72
181,"SPOKANE, WA",35.61,7.5,0.041,10.78
182,"EUGENE, OR",35.56,18.63,0.028999999999999998,18.775
183,"THE WOODLANDS, TX",35.51,14.17,0.028,13.79
184,"TORRANCE, CA",35.51,13.17,0.021,9.65
185,"PASADENA, CA",35.51,11.9,0.027,11.0
186,"FULLERTON, CA",35.51,18.32,0.024,15.28
187,"LAKELAND, FL",35.38,13.15,0.033,15.37
188,"LEXINGTON, MA",35.02,12.19,0.015,6.33
189,"FALLS CHURCH, VA",34.965,15.370000000000001,0.024,12.585
190,"SAINT PETERSBURG, FL",34.92,14.44,0.032,15.99
191,"SAVANNAH, GA",34.8,10.6,0.035,12.49
192,"WALNUT CREEK, CA",34.69,19.64,0.028,18.29
193,"GLENDALE, CA",34.69,16.79,0.029,16.32
194,"MILPITAS, CA",34.42,14.72,0.025,12.37
195,"CUMMING, GA",34.35,15.02,0.034,17.36
196,"AKRON, OH",34.24,12.33,0.034,14.13
197,"CONCORD, CA",33.87,17.39,0.024,13.57
198,"ALAMEDA, CA",33.6,20.18,0.024,15.82
199,"COLUMBIA, MD",33.44,8.49,0.023,6.35
200,"BEAVERTON, OR",33.365,16.96,0.0325,17.6
201,"ONTARIO, CA",33.32,22.38,0.032,23.0
202,"NEWPORT BEACH, CA",33.05,24.61,0.022,17.31
203,"SUGAR LAND, TX",32.73,11.23,0.032,11.51
204,"SANDY, UT",32.63,22.44,0.033,23.74
205,"KATY, TX",32.42,13.31,0.03,12.78
206,"BOTHELL, WA",32.4,16.71,0.035,18.48
207,"LAUREL, MD",32.285,13.495000000000001,0.0305,12.91
208,"MORRISVILLE, NC",32.17,30.24,0.03,28.83
209,"CORONA, CA",31.96,24.52,0.029,22.56
210,"STAMFORD, CT",31.94,10.19,0.041,13.25
211,"BROOKLINE, MA",31.79,11.14,0.017,5.82
212,"GREENWICH, CT",31.25,10.01,0.031,9.53
213,"HUNTSVILLE, AL",31.02,11.34,0.037,12.69
214,"STATE COLLEGE, PA",30.79,16.14,0.029,14.23
215,"GREENVILLE, SC",30.79,11.44,0.041,14.18
216,"RICHMOND, CA",30.32,12.55,0.031,11.64
217,"GARDEN GROVE, CA",30.32,14.95,0.026,11.53
218,"MEDFORD, MA",30.31,19.78,0.02,11.42
219,"LOWELL, MA",30.31,12.03,0.022,7.74
220,"MCKINNEY, TX",30.26,11.94,0.032,11.2
221,"STONE MOUNTAIN, GA",30.02,20.27,0.037,21.98
222,"FLOWER MOUND, TX",29.95,17.01,0.023,11.46
223,"NAPERVILLE, IL",29.87,9.61,0.031,8.74
224,"HOBOKEN, NJ",29.87,16.79,0.024,11.98
225,"STOCKTON, CA",29.77,13.42,0.031,12.08
226,"SAN LEANDRO, CA",29.77,21.13,0.029,17.81
227,"TUSTIN, CA",29.77,14.13,0.023,9.6
228,"CHANTILLY, VA",29.42,12.02,0.0265,9.11
229,"MALDEN, MA",29.14,20.42,0.021,12.03
230,"WINTER PARK, FL",28.95,23.84,0.033,22.48
231,"STERLING, VA",28.875,12.945,0.024,8.675
232,"NATICK, MA",28.84,15.34,0.014,6.2
233,"BATON ROUGE, LA",28.72,9.98,0.036,10.04
234,"GLENDALE, AZ",28.58,13.98,0.03,11.86
235,"LITHONIA, GA",28.43,22.71,0.04,25.19
236,"NASHUA, NH",28.26,13.4,0.023,8.41
237,"FOSTER CITY, CA",28.13,17.37,0.018,8.69
238,"GARLAND, TX",28.1,12.84,0.03,10.5
239,"RENTON, WA",28.03,14.38,0.034,13.36
240,"SOUTH BRUNSWICK TOWNSHIP, NJ",28.03,17.64,0.03,14.76
241,"LITTLE ROCK, AR",27.99,9.8,0.036,9.59
242,"AUGUSTA, GA",27.98,13.86,0.037,13.82
243,"ALLEN, TX",27.79,6.96,0.035,6.53
244,"SANTA ROSA, CA",27.59,12.34,0.032,10.51
245,"WACO, TX",27.48,12.82,0.026,8.98
246,"ATTLEBORO, MA",27.37,10.63,0.022,6.17
247,"LAKE WORTH, FL",27.34,14.38,0.037,14.39
248,"TEMECULA, CA",27.32,23.75,0.022,14.03
249,"ESCONDIDO, CA",27.32,19.98,0.025,13.4
250,"EDEN PRAIRIE, MN",27.18,9.38,0.026,6.37
251,"DENTON, TX",27.17,10.0,0.025,6.54
252,"MELBOURNE, FL",27.11,12.63,0.034,11.62
253,"COFFEYVILLE, KS",27.11,15.05,0.05,20.25
254,"ACTON, MA",27.08,17.28,0.018,8.42
255,"KNOXVILLE, TN",26.88,8.48,0.034,7.64
256,"GRAPEVINE, TX",26.86,14.22,0.023,8.47
257,"COLLEGE STATION, TX",26.86,8.39,0.024,5.17
258,"MANASSAS, VA",26.79,11.005,0.0315,8.905000000000001
259,"WATERTOWN, MA",26.78,23.21,0.013,7.59
260,"BLOOMINGTON, IN",26.65,11.12,0.025,7.35
261,"DAYTON, OH",26.65,10.64,0.037,10.45
262,"COLUMBIA, SC",26.65,11.04,0.039,11.29
263,"DURHAM, NH",26.42,21.13,0.021,11.61
264,"SMYRNA, GA",26.38,15.74,0.03,12.08
265,"HENDERSON, NV",26.25,9.63,0.032,7.78
266,"CORPUS CHRISTI, TX",26.25,6.79,0.045,7.74
267,"EWING TOWNSHIP, NJ",25.96,16.63,0.025,10.66
268,"THOUSAND OAKS, CA",25.95,17.87,0.024,10.93
269,"LEWISVILLE, TX",25.94,21.06,0.025,13.19
270,"SARASOTA, FL",25.73,11.27,0.037,10.59
271,"HERRIMAN, UT",25.73,17.47,0.04,17.61
272,"EAST WINDSOR, NJ",25.73,16.96,0.026,11.31
273,"ALBANY, NY",25.73,7.88,0.036,7.13
274,"HAVERHILL, MA",25.6,14.6,0.028,10.04
275,"SYRACUSE, NY",25.5,34.49,0.042,36.43
276,"VISTA, CA",25.4,13.57,0.024,8.23
277,"KILLEEN, TX",25.32,10.38,0.03,7.71
278,"EVERETT, WA",25.27,15.07,0.031,11.66
279,"DES MOINES, IA",25.27,6.54,0.042,6.91
280,"RANCHO CUCAMONGA, CA",25.13,17.14,0.028,11.94
281,"NORFOLK, VA",25.04,13.46,0.038,12.6
282,"CONYERS, GA",25.02,17.74,0.026,11.25
283,"SPRING, TX",25.01,10.75,0.023,5.99
284,"ANNANDALE, VA",24.93,10.32,0.025,6.17
285,"MURFREESBORO, TN",24.81,10.49,0.039,9.95
286,"LUBBOCK, TX",24.7,11.94,0.032,9.07
287,"CLIFTON, NJ",24.59,10.19,0.043,10.63
288,"WICHITA, KS",24.36,13.16,0.038,12.16
289,"HAMDEN, CT",24.36,12.43,0.034,10.09
290,"CLEARWATER, FL",24.36,13.44,0.032,10.31
291,"JONESBORO, GA",24.34,25.09,0.037,22.21
292,"POMONA, CA",24.31,23.37,0.024,13.18
293,"OXON HILL, MD",24.17,14.28,0.0335,10.35
294,"HAMMOND, IN",23.9,16.87,0.04,15.94
295,"LAFAYETTE, IN",23.9,15.06,0.031,11.11
296,"COVINGTON, KY",23.9,15.9,0.041,15.25
297,"BILLERICA, MA",23.84,11.22,0.017,4.45
298,"ANCHORAGE, AK",23.69,12.65,0.034,9.95
299,"METHUEN, MA",23.25,16.39,0.022,8.21
300,"AMHERST, MA",23.25,12.06,0.02,5.5
301,"SOUTH JORDAN, UT",23.21,14.31,0.025,8.18
302,"OLYMPIA, WA",23.21,13.64,0.035,10.77
303,"MILTON, GA",23.2,13.2,0.03,8.95
304,"YONKERS, NY",22.98,10.16,0.04,9.11
305,"FAYETTEVILLE, NC",22.98,8.07,0.035,6.33
306,"HARTFORD, CT",22.98,10.74,0.046,11.25
307,"AUBURN, WA",22.98,13.47,0.04,12.23
308,"CHERRY HILL, NJ",22.98,15.49,0.026,9.16
309,"ROSWELL, GA",22.97,23.89,0.04,21.43
310,"BURBANK, CA",22.94,15.67,0.03,10.57
311,"DARNESTOWN, MD",22.92,8.57,0.0265,5.135
312,"CEDAR PARK, TX",22.85,19.53,0.023,10.0
313,"NEW CASTLE, DE",22.81,15.15,0.03,10.0
314,"GREENBELT, MD",22.78,7.765,0.0295,5.09
315,"MALVERN, PA",22.75,11.96,0.02,5.4
316,"HOLLYWOOD, FL",22.75,16.21,0.031,11.34
317,"BRADENTON, FL",22.75,12.64,0.035,9.88
318,"EAST BRUNSWICK, NJ",22.75,14.65,0.03,9.75
319,"MOBILE, AL",22.52,12.18,0.047,12.6
320,"DOUGLASVILLE, GA",22.52,16.14,0.038,13.32
321,"ROSEVILLE, CA",22.4,15.46,0.024,8.2
322,"NORTH BERGEN, NJ",22.29,15.97,0.031,10.71
323,"INDEPENDENCE, KS",22.29,12.55,0.048,13.34
324,"LINCOLN, NE",22.26,6.6,0.029,4.18
325,"LEXINGTON, KY",22.06,10.1,0.037,8.2
326,"WOODBRIDGE, VA",21.935000000000002,14.405000000000001,0.0315,9.665
327,"FORT WAYNE, IN",21.83,12.22,0.032,8.42
328,"ELIZABETH, NJ",21.83,13.19,0.035,10.01
329,"PORTLAND, ME",21.78,11.32,0.02,4.83
330,"PORTSMOUTH, NH",21.6,13.92,0.023,6.76
331,"LONGMONT, CO",21.6,14.36,0.034,10.28
332,"NORTH LAS VEGAS, NV",21.59,8.63,0.04,7.3
333,"PFLUGERVILLE, TX",21.31,15.99,0.028,9.23
334,"DANVERS, MA",21.19,40.44,0.016,13.27
335,"HILLSBORO, OR",21.17,14.21,0.037000000000000005,10.825
336,"PISCATAWAY TOWNSHIP, NJ",21.14,20.97,0.027,11.6
337,"LOGAN, UT",21.14,17.2,0.032,11.31
338,"VALLEJO, CA",21.03,16.33,0.029,9.76
339,"PITTSBURG, CA",21.03,18.51,0.029,11.06
340,"JACKSON, MS",20.95,7.29,0.035,5.29
341,"MOUNT LAUREL, NJ",20.91,10.74,0.024,5.3
342,"ARLINGTON, MA",20.9,9.43,0.015,2.82
343,"DALY CITY, CA",20.76,18.51,0.023,8.68
344,"COPPELL, TX",20.69,9.97,0.025,5.03
345,"WEST WINDSOR TOWNSHIP, NJ",20.68,15.37,0.022,6.77
346,"WELLESLEY, MA",20.6,14.33,0.015,4.22
347,"MIDDLETOWN, DE",20.5,11.54,0.035,8.09
348,"UNION CITY, CA",20.49,14.15,0.029,8.32
349,"LAKE FOREST, CA",20.49,19.92,0.021,8.48
350,"CAMPBELL, CA",20.49,17.67,0.024,8.37
351,"WOODSTOCK, GA",20.47,12.56,0.032,8.06
352,"BEND, OR",20.4,20.265,0.028999999999999998,11.535
353,"COLUMBUS, GA",20.24,12.49,0.034,8.37
354,"OGDEN, UT",20.22,13.28,0.031,8.25
355,"HAMILTON TOWNSHIP, NJ",20.22,10.379999999999999,0.032,6.449999999999999
356,"SPRINGFIELD, VA",20.18,15.265,0.0315,9.32
357,"MOORHEAD, MN",20.1,7.64,0.031,4.63
358,"CYPRESS, TX",20.07,15.33,0.029,8.6
359,"CORVALLIS, OR",20.03,18.17,0.026000000000000002,9.24
360,"BROOMFIELD, CO",19.99,15.93,0.03,9.39
361,"SALEM, OR",19.915,21.75,0.0335,14.065
362,"ELLICOTT CITY, MD",19.64,8.96,0.02,3.45
363,"KENT, WA",19.53,15.04,0.032,9.18
364,"COTTONWOOD HEIGHTS, UT",19.53,12.68,0.037,8.93
365,"WESTBOROUGH, MA",19.42,13.59,0.018,4.54
366,"FREDERICK, MD",19.355,9.785,0.027,4.965
367,"LEAGUE CITY, TX",19.14,10.73,0.025,5.04
368,"EL CAJON, CA",19.12,16.67,0.026,8.2
369,"KANSAS CITY, KS",19.07,12.77,0.04,9.58
370,"DRAPER, UT",19.07,12.14,0.027,6.24
371,"CLARKSVILLE, TN",19.07,9.68,0.04,7.24
372,"ROCKVILLE, MD",19.06,10.82,0.0265,5.305
373,"WOODBRIDGE TOWNSHIP, NJ",18.84,12.86,0.034,8.21
374,"WEST CHESTER, PA",18.84,11.5,0.029,6.29
375,"MESQUITE, TX",18.84,17.52,0.03,9.6
376,"NORTH AUGUSTA, SC",18.84,14.67,0.037,10.03
377,"PENSACOLA, FL",18.84,21.35,0.034,13.41
378,"KIRKLAND, WA",18.84,17.52,0.032,10.55
379,"DEARBORN, MI",18.84,10.23,0.034,6.5
380,"COVINGTON, GA",18.65,13.39,0.044,10.65
381,"WINSTON-SALEM, NC",18.61,6.47,0.041,4.9
382,"NORTH BRUNSWICK TOWNSHIP, NJ",18.61,17.42,0.028,9.1
383,"LEAVENWORTH, WA",18.61,5.75,0.021,2.23
384,"SOUTH SAN FRANCISCO, CA",18.57,13.69,0.025,6.16
385,"MORENO VALLEY, CA",18.57,9.69,0.028,4.98
386,"SALEM, MA",18.54,9.25,0.024,3.95
387,"ADDISON, TX",18.53,13.75,0.017,4.21
388,"SNELLVILLE, GA",18.42,14.91,0.037,9.87
389,"BURLINGTON, VT",18.41,12.95,0.029,6.78
390,"MURRIETA, CA",18.3,24.94,0.029,12.71
391,"SEEKONK, MA",18.25,14.26,0.025,6.34
392,"OAK PARK, IL",18.15,18.17,0.031,10.08
393,"FLAGSTAFF, AZ",18.05,9.05,0.033,5.27
394,"DAVIS, CA",18.03,16.36,0.018,5.16
395,"BUFORD, GA",17.97,14.05,0.03,7.31
396,"CHELMSFORD, MA",17.95,13.54,0.016,3.75
397,"BEDFORD, MA",17.95,11.77,0.015,3.05
398,"MIAMI BEACH, FL",17.92,18.05,0.035,11.13
399,"HOMESTEAD, FL",17.92,14.81,0.049,12.82
400,"ARVADA, CO",17.92,18.77,0.037,12.3
401,"BENTONVILLE, AR",17.86,5.81,0.041,4.12
402,"FOLSOM, CA",17.75,9.87,0.027,4.66
403,"DULUTH, GA",17.74,16.47,0.031,8.88
404,"HARRISBURG, PA",17.69,14.14,0.039,9.63
405,"WESTFORD, MA",17.66,15.7,0.018,4.78
406,"LOS ALTOS HILLS, CA",17.48,16.22,0.021,5.73
407,"LIVERMORE, CA",17.48,12.54,0.028,5.94
408,"WAYNE, PA",17.46,11.17,0.026,5.06
409,"WILMINGTON, NC",17.46,10.8,0.042,7.76
410,"SANFORD, FL",17.46,21.12,0.031,11.12
411,"WARREN, MI",17.46,10.89,0.042,7.86
412,"ITHACA, NY",17.46,11.43,0.032,6.25
413,"PEORIA, AZ",17.45,9.98,0.032,5.46
414,"FREDERICKSBURG, VA",17.4,14.915,0.031,7.805
415,"DUBLIN, OH",17.23,14.54,0.039,9.7
416,"COUNCIL BLUFFS, IA",17.23,6.6,0.041,4.57
417,"CUMBERLAND, RI",17.23,11.9,0.024,4.87
418,"SAN RAFAEL, CA",17.21,15.78,0.024,6.29
419,"SAN CLEMENTE, CA",17.21,15.63,0.024,6.36
420,"LOS GATOS, CA",17.21,15.13,0.022,5.66
421,"CHICO, CA",17.21,12.86,0.022,4.84
422,"MANCHESTER, NH",17.0,15.46,0.031,8.08
423,"NAPLES, FL",17.0,14.69,0.043,10.51
424,"HIGHLANDS RANCH, CO",17.0,21.26,0.038,13.44
425,"LANCASTER, PA",17.0,14.7,0.034,8.36
426,"RICHMOND, TX",16.98,10.66,0.027,4.7
427,"ELK GROVE, CA",16.94,10.91,0.033,6.04
428,"WOBURN, MA",16.78,13.91,0.018,4.21
429,"UPPER DARBY, PA",16.77,25.38,0.025,10.42
430,"FAIRFIELD, CT",16.77,10.59,0.03,5.22
431,"SAN BERNARDINO, CA",16.66,15.84,0.033,8.55
432,"WINSLOW TOWNSHIP, NJ",16.54,34.01,0.034,18.95
433,"PATERSON, NJ",16.54,8.23,0.055,7.39
434,"PALM BEACH GARDENS, FL",16.54,11.46,0.036,6.71
435,"EAST NORRITON, PA",16.54,19.5,0.031,9.84
436,"CHARLOTTESVILLE, VA",16.54,8.65,0.035,4.96
437,"DOVER, NH",16.54,16.16,0.023,6.09
438,"HILLSBOROUGH, CA",16.39,17.27,0.02,5.6
439,"SPRINGFIELD, MO",16.31,8.83,0.045,6.34
440,"WATERBURY, CT",16.31,3.4,0.092,5.05
441,"MONROE TOWNSHIP, NJ",16.31,21.9,0.034,12.0
442,"KING OF PRUSSIA, PA",16.31,13.08,0.031,6.42
443,"HIGHLAND, UT",16.31,21.68,0.044,15.4
444,"DALE CITY, VA",16.205,9.55,0.0395,5.875
445,"BROCKTON, MA",16.19,12.04,0.032,6.17
446,"MISSOULA, MT",16.16,5.8,0.039,3.57
447,"TRACY, CA",16.12,14.28,0.025,5.58
448,"LANCASTER, CA",16.12,11.07,0.032,5.56
449,"ENCINITAS, CA",16.12,16.39,0.021,5.31
450,"SAYREVILLE, NJ",16.08,14.14,0.034,7.54
451,"NORMAN, OK",16.08,10.2,0.035,5.58
452,"AMARILLO, TX",16.06,11.36,0.036,6.49
453,"CENTREVILLE, VA",15.935,8.125,0.035,4.4
454,"MCDONOUGH, GA",15.92,17.61,0.035,9.71
455,"KENT, OH",15.85,8.03,0.052,6.54
456,"LAFAYETTE, LA",15.85,10.99,0.053,9.05
